epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,240.006,1.18915,0.13226,0.38197,1.44991,1.14882,0.31491,0.28324,0.20823,0.14541,0.31422,0.28003,0.19971,0.19548,1.44047,0.92719,0.41105,1.94381,1.3363,0.000955072,0.000955072,0.000955072
84,242.907,1.26861,0.12201,0.38481,1.37717,1.13481,0.11344,0.32303,0.20195,0.13976,0.11201,0.34931,0.19286,0.18762,1.51651,0.92979,0.41626,2.13102,1.38858,0.000953987,0.000953987,0.000953987
85,245.807,1.20711,0.09816,0.36376,1.37403,1.11111,0.52041,0.26735,0.2071,0.14891,0.12058,0.40235,0.20303,0.19724,1.54807,0.93065,0.36748,1.94672,1.39448,0.000952889,0.000952889,0.000952889
86,248.686,1.21322,0.15686,0.40679,1.5228,1.1676,0.53161,0.28938,0.20456,0.14418,0.12986,0.39715,0.20164,0.19574,1.52247,0.93192,0.37111,1.90924,1.38268,0.00095178,0.00095178,0.00095178
87,251.573,1.18993,0.10004,0.38019,1.40155,1.18693,0.32838,0.27235,0.19691,0.13099,0.12692,0.31147,0.19199,0.18748,1.44131,0.92621,0.39225,1.894,1.37355,0.000950658,0.000950658,0.000950658
88,254.463,1.14658,0.07038,0.355,1.305,1.10428,0.15003,0.34824,0.19892,0.13343,0.13497,0.42105,0.19084,0.18417,1.36205,0.9291,0.3784,1.77695,1.34319,0.000949524,0.000949524,0.000949524
89,257.374,1.19821,0.23259,0.38193,1.3972,1.15085,0.56036,0.32235,0.20129,0.13457,0.14645,0.35994,0.19476,0.18838,1.55307,0.94421,0.37702,1.87616,1.39874,0.000948377,0.000948377,0.000948377
90,260.234,1.25233,0.07007,0.35536,1.35013,1.13858,0.58632,0.29147,0.21726,0.14388,0.13699,0.34735,0.20479,0.19875,1.45,0.93665,0.39663,1.84381,1.34789,0.000947219,0.000947219,0.000947219
91,263.074,1.25449,0.14325,0.3637,1.313,1.16721,0.38623,0.27735,0.22752,0.14426,0.59337,0.22059,0.2121,0.20669,1.43472,0.92585,0.39013,1.82481,1.34095,0.000946048,0.000946048,0.000946048
92,265.988,1.21703,0.07133,0.39117,1.44065,1.15538,0.15607,0.33412,0.25991,0.16292,0.154,0.32696,0.24634,0.24144,1.46289,0.9266,0.37483,1.78384,1.3241,0.000944866,0.000944866,0.000944866
93,268.854,1.21756,0.11131,0.35061,1.36311,1.11476,0.14173,0.38412,0.26283,0.16827,0.88653,0.18295,0.2447,0.24288,1.4431,0.92883,0.3641,1.79483,1.35292,0.000943671,0.000943671,0.000943671
94,271.744,1.16987,0.17896,0.31329,1.25361,1.10966,0.86918,0.19646,0.2431,0.14805,0.86542,0.19058,0.22651,0.22627,1.53441,0.92816,0.37923,1.85188,1.42709,0.000942464,0.000942464,0.000942464
95,274.673,1.24002,0.17255,0.42018,1.43766,1.18701,0.11325,0.34779,0.24236,0.15025,0.10538,0.32191,0.22847,0.22757,1.47436,0.92723,0.39746,1.81322,1.39671,0.000941245,0.000941245,0.000941245
96,277.704,1.18701,0.11407,0.37778,1.39382,1.14373,0.14955,0.35324,0.23029,0.16125,0.14389,0.35966,0.22175,0.21867,1.41985,0.92985,0.40337,1.89223,1.3262,0.000940014,0.000940014,0.000940014
97,280.6,1.11165,0.09066,0.44383,1.3115,1.10693,0.22039,0.35785,0.2195,0.1438,0.20758,0.32981,0.20872,0.20712,1.47818,0.92927,0.39034,1.86281,1.3452,0.000938772,0.000938772,0.000938772
98,283.524,1.14596,0.07396,0.40864,1.38803,1.12911,0.42226,0.35824,0.22585,0.14691,0.40558,0.32647,0.21196,0.21111,1.41331,0.92544,0.36204,1.85621,1.32577,0.000937517,0.000937517,0.000937517
99,286.382,1.19205,0.07706,0.37663,1.35227,1.11597,0.44538,0.31412,0.24974,0.15872,0.41666,0.38324,0.23461,0.23213,1.37066,0.92898,0.35872,1.81153,1.31148,0.000936251,0.000936251,0.000936251
100,289.277,1.13513,0.07235,0.42655,1.43165,1.12354,0.18932,0.41824,0.21896,0.13918,0.19465,0.41735,0.22334,0.2142,1.35297,0.92547,0.38338,1.7844,1.32227,0.000934973,0.000934973,0.000934973
101,292.222,1.10457,0.15116,0.37219,1.30271,1.09654,0.16235,0.36011,0.22043,0.14963,0.17231,0.3778,0.21938,0.21058,1.41795,0.92492,0.42289,1.99011,1.37038,0.000933683,0.000933683,0.000933683
102,295.13,1.10313,0.12129,0.38425,1.36213,1.13233,0.32651,0.26735,0.21916,0.14917,0.13775,0.31147,0.20956,0.20309,1.48554,0.93604,0.41682,1.96181,1.36292,0.000932381,0.000932381,0.000932381
103,298.09,1.12979,0.1221,0.38521,1.28285,1.12273,0.35722,0.26735,0.23412,0.16021,0.13154,0.31147,0.22148,0.21527,1.54006,0.93713,0.39217,1.94133,1.37137,0.000931067,0.000931067,0.000931067
104,301.016,1.10624,0.14732,0.37509,1.36512,1.14251,0.15704,0.36824,0.22778,0.15484,0.16195,0.38735,0.22306,0.21885,1.39656,0.92474,0.38794,1.93393,1.31928,0.000929742,0.000929742,0.000929742
105,303.902,1.16408,0.20802,0.34718,1.38457,1.13921,0.16645,0.41338,0.22616,0.16111,0.16369,0.39684,0.21591,0.21136,1.4558,0.92319,0.40699,1.93043,1.33776,0.000928405,0.000928405,0.000928405
106,306.749,1.15601,0.07719,0.35563,1.31307,1.10557,0.54223,0.34235,0.22015,0.15165,0.54338,0.32147,0.21036,0.20971,1.5059,0.93667,0.41724,1.92138,1.33835,0.000927057,0.000927057,0.000927057
107,309.697,1.11594,0.19096,0.38662,1.39238,1.11192,0.55478,0.30147,0.2255,0.14307,0.63501,0.29047,0.21895,0.2178,1.42281,0.9417,0.41084,1.8467,1.31399,0.000925697,0.000925697,0.000925697
108,312.69,1.11723,0.15222,0.36042,1.38192,1.10239,0.58122,0.28029,0.23693,0.15323,0.63505,0.30113,0.23198,0.2318,1.4089,0.9444,0.40315,1.8914,1.34155,0.000924325,0.000924325,0.000924325
109,315.547,1.14556,0.05976,0.41674,1.33338,1.10222,0.58611,0.26324,0.22385,0.14067,0.6217,0.27147,0.21697,0.21618,1.39229,0.94254,0.40264,1.83082,1.3186,0.000922942,0.000922942,0.000922942
110,318.374,1.08497,0.08093,0.35267,1.29111,1.08692,0.3478,0.33324,0.22281,0.14026,0.36876,0.31647,0.22322,0.22077,1.40673,0.92618,0.40241,1.9095,1.33075,0.000921548,0.000921548,0.000921548
111,321.362,1.14645,0.07981,0.37848,1.41621,1.11807,0.36121,0.34824,0.22682,0.14289,0.34181,0.28907,0.22711,0.22456,1.43195,0.94091,0.40024,1.92414,1.32273,0.000920142,0.000920142,0.000920142
112,324.32,1.05829,0.06941,0.34581,1.28683,1.10836,0.16511,0.36324,0.22822,0.15139,0.17767,0.35647,0.22367,0.2169,1.44057,0.93594,0.39096,1.94389,1.35411,0.000918725,0.000918725,0.000918725
113,327.233,1.10707,0.13054,0.3043,1.25061,1.08924,0.44313,0.34235,0.24853,0.15658,0.4684,0.36147,0.25116,0.24436,1.44203,0.92573,0.38246,1.95678,1.34413,0.000917296,0.000917296,0.000917296
114,330.161,1.07667,0.08358,0.35446,1.27755,1.10525,0.49515,0.36695,0.27718,0.17689,0.53074,0.37581,0.28234,0.27,1.31881,0.92635,0.36787,1.82824,1.27587,0.000915856,0.000915856,0.000915856
